date,business_activity_index
2005-01-01,97.25
2005-04-01,101.434
2005-07-01,103.622
2005-10-01,99.006
2006-01-01,98.834
2006-04-01,103.437
2006-07-01,107.119
2006-10-01,103.221
2007-01-01,101.768
2007-04-01,104.998
2007-07-01,107.979
2007-10-01,103.355
2008-01-01,103.333
2008-04-01,108.032
2008-07-01,111.222
2008-10-01,106.028
2009-01-01,105.615
2009-04-01,108.301
2009-07-01,112.531
2009-10-01,108.305
2010-01-01,107.663
2010-04-01,110.906
2010-07-01,114.176
2010-10-01,109.655
2011-01-01,109.244
2011-04-01,112.013
2011-07-01,113.625
2011-10-01,111.308
2012-01-01,111.975
2012-04-01,116.016
2012-07-01,118.779
2012-10-01,114.73
2013-01-01,116.12
2013-04-01,118.738
2013-07-01,120.471
2013-10-01,116.402
2014-01-01,117.434
2014-04-01,120.919
2014-07-01,122.828
2014-10-01,119.585
2015-01-01,119.771
2015-04-01,121.794
2015-07-01,123.06
2015-10-01,118.103
2016-01-01,117.229
2016-04-01,121.181
2016-07-01,123.663
2016-10-01,120.085
2017-01-01,119.497
2017-04-01,123.462
2017-07-01,125.693
2017-10-01,122.361
2018-01-01,122.849
2018-04-01,126.875
2018-07-01,128.865
2018-10-01,125.362
2019-01-01,124.615
2019-04-01,127.124
2019-07-01,129.925
2019-10-01,126.386
2020-01-01,124.398
2020-04-01,128.242
2020-07-01,131.93
2020-10-01,128.318
2021-01-01,128.216
2021-04-01,131.257
2021-07-01,134.198
2021-10-01,129.768
2022-01-01,128.879
2022-04-01,132.61
2022-07-01,135.415
2022-10-01,131.963
2023-01-01,132.656
2023-04-01,134.243
2023-07-01,137.038
2023-10-01,133.257
2024-01-01,131.673
2024-04-01,136.176
2024-07-01,140.283
2024-10-01,136.973
